Rank,Name,NPC,Birth,Time,Date,City,Country
1,DISKEN Timothy,AUS,1996,0:55.65,9 April 2017,Brisbane,Australia
2,BARLAAM Simone,ITA,2000,0:56.09,4 December 2017,Mexico City,Mexico
3,WHITE Lewis,GBR,2000,0:57.13,27 July 2017,Sheffiled,Great Britain
4,MARI ALCARAZ Jose Antonio,ESP,1988,0:57.25,7 July 2017,Berlin,Germany
5,GONCALVES SILVA Ruiter Antonio,BRA,1992,0:57.65,6 August 2017,Sao Paulo,Brazil
6,HALL Brenden,AUS,1993,0:57.70,9 April 2017,Brisbane,Australia
7,MORLACCHI Federico,ITA,1993,0:57.71,4 December 2017,Mexico City,Mexico
8,FILHO Vanilton,BRA,1993,0:58.07,21 April 2017,Sao Paulo,Brazil
9,GRACHAT David,POR,1987,0:58.14,18 June 2017,Lisboa,Portugal
10,LAHTEENMAKI Leo,FIN,1991,0:58.78,27 April 2017,Sheffield,Great Britain
11,VINCETIC Kristijan,CRO,1991,0:58.89,7 July 2017,Berlin,Germany
12,HODGE Timothy,AUS,2001,0:58.95,9 April 2017,Brisbane,Australia
13,YAMADA Takuro,JPN,1991,0:59.05,7 July 2017,Berlin,Germany
14,ARBUTHNOTT Christopher,NZL,1998,0:59.51,14 December 2017,Brisbane,Australia
15,BOOTH Jonathan,GBR,1998,0:59.59,27 July 2017,Sheffiled,Great Britain
16,TADIC Ilija,MNE,1999,0:59.70,21 May 2017,Hodmezovasarhely,Hungary
17,BRAUNSCHWEIG Malte,GER,2000,0:59.82,7 July 2017,Berlin,Germany
18,CROUCH Ryan,GBR,1994,0:59.85,27 July 2017,Sheffiled,Great Britain
19,VAN DUUREN Tim,NED,1998,1:00.19,9 April 2017,Eindhoven,Netherlands
20,MOCSARI Bence,HUN,2000,1:00.43,4 December 2017,Mexico City,Mexico
21,TOTH Tamas,HUN,1992,1:00.71,7 July 2017,Berlin,Germany
22,VAN DEN END Thijs,NED,1993,1:00.80,9 April 2017,Eindhoven,Netherlands
