Rank,Name,NPC,Birth,Time,Date,City,Country
1,WATKIN Louise,GBR,1992,1:03.45,24 November 2012,Sheffield,Great Britain
2,MARREN Amy,GBR,1998,1:05.28,24 November 2012,Sheffield,Great Britain
3,CASHMORE Claire,GBR,1988,1:06.56,24 November 2012,Sheffield,Great Britain
4,STEADMAN Lauren,GBR,1992,1:07.11,3 November 2012,Sheffield,Great Britain
5,MCCONNELL Ashleigh,AUS,1996,1:08.45,18 August 2012,Melbourne,Australia
6,BUCK Chloe,GBR,1997,1:11.76,25 March 2012,Sheffield,Great Britain
7,DOOTJES Lisa,NED,1994,1:12.24,28 October 2012,Amsterdam,Netherlands
8,BRODIN Helene,NOR,1996,1:12.63,1 December 2012,Stavanger,Norway
9,HARRIS Emily,GBR,1997,1:12.94,24 November 2012,Sheffield,Great Britain
10,GORDON Hope,GBR,1994,1:14.33,25 March 2012,Sheffield,Great Britain
11,RICHTER Megan,GBR,2000,1:14.48,24 November 2012,Sheffield,Great Britain
12,BUCK Leonie,GBR,1995,1:14.60,25 March 2012,Sheffield,Great Britain
13,BUTLER Ffion,GBR,1998,1:16.26,25 March 2012,Sheffield,Great Britain
14,FRANKS Rebecca,GBR,1997,1:25.47,24 November 2012,Sheffield,Great Britain
15,LEWIS Samm,GBR,1992,1:38.88,24 November 2012,Sheffield,Great Britain
