Rank,Name,NPC,Birth,Time,Date,City,Country
1,BELANDO NICHOLSON Victoria,AUS,2008,0:29.78,8 August 2025,Brisbane,Australia
2,LAMBERT Evie,GBR,2007,0:30.20,12 December 2025,Sheffield,Great Britain
3,HALE Brooklyn,GBR,2010,0:30.88,12 December 2025,Sheffield,Great Britain
4,FULLGRABE Jasmin,AUS,2005,0:31.45,3 October 2025,Melbourne,Australia
5,PAULI Agathe,FRA,2003,0:31.53,7 December 2025,13800 ISTRES,France
6,FALTMAN Helena,SWE,1980,0:31.59,28 November 2025,Reykjavik,Iceland
7,PELLIS Suzie,NED,2007,0:31.69,19 December 2025,Den Haag,Netherlands
8,JIMENEZ ROMERO DE AVILA Lydia,ESP,2006,0:32.11,20 December 2025,Madrid,Spain
9,CORNELISSEN Lena Katharina,GER,2000,0:32.54,15 November 2025,Nürnberg,Germany
10=,WITT Camilla Bitz,DEN,2003,0:32.73,28 November 2025,Reykjavik,Iceland
10=,VERON Julie,FRA,2007,0:32.73,7 December 2025,13800 ISTRES,France
12,LEKON Annika,GER,2003,0:32.75,15 November 2025,Nürnberg,Germany
13,RICKERT Vivien,GER,2012,0:34.06,15 November 2025,Nürnberg,Germany
14,BADOWSKA Nikola,POL,2007,0:34.26,20 December 2025,Madrid,Spain
15,ASTRI LILLEBO Walsh,NOR,2008,0:36.65,24 October 2025,Stavanger,Norway
