Rank,Name,NPC,Birth,Time,Date,City,Country
1,PASCOE Sophie,NZL,1993,1:02.37,31 August 2021,Tokyo,Japan
2,GASCON Sarai,ESP,1992,1:02.77,31 August 2021,Tokyo,Japan
3,RIBEIRO Mariana,BRA,1995,1:03.39,31 August 2021,Tokyo,Japan
4,SHAW Toni,GBR,2003,1:03.42,31 August 2021,Tokyo,Japan
5,COLE Ellie,AUS,1991,1:03.49,31 August 2021,Tokyo,Japan
6,MCCONNELL Ashleigh,AUS,1996,1:03.50,15 June 2021,Adelaide,Australia
7,SIMS Natalie,USA,1997,1:03.85,31 August 2021,Tokyo,Japan
8,ASPDEN Hannah,USA,2000,1:03.87,17 June 2021,Minneapolis,United States of America
9,PATTERSON Lakeisha,AUS,1999,1:04.07,6 April 2021,Gold Coast,Australia
10,BEECROFT Emily,AUS,1999,1:04.26,15 June 2021,Adelaide,Australia
11,VEIGA Susana,POR,2000,1:04.33,19 May 2021,Funchal,Portugal
12,KONKOLY Zsofia,HUN,2002,1:04.86,31 August 2021,Tokyo,Japan
13,MARQUES SOTO Nuria,ESP,1999,1:05.26,19 May 2021,Funchal,Portugal
14,XU Jialing,CHN,2002,1:05.47,23 October 2021,Xi'an,China
15,TAI Alice,GBR,1999,1:05.61,8 April 2021,Sheffield,Great Britain
16,SMITH Elizabeth,USA,1996,1:05.75,17 June 2021,Minneapolis,United States of America
17,SUPIOT Claire,FRA,1968,1:06.24,19 May 2021,Funchal,Portugal
18,BIANCO Vittoria,ITA,1995,1:06.31,19 May 2021,Funchal,Portugal
19,BULTJE Florianne,NED,1998,1:06.48,18 December 2021,Eindhoven,Netherlands
20,SCHMIT Summer,USA,2003,1:06.53,15 April 2021,Lewisville,United States of America
21,MILLWARD Stephanie,GBR,1981,1:06.75,8 April 2021,Sheffield,Great Britain
22,GIMENEZ Daniela,ARG,1992,1:07.70,2 June 2021,Buenos Aires,Argentina
23,GODOY SOTO Kiara Pollet,CHI,2002,1:07.74,18 June 2021,Berlin,Germany
24,GORDIYCHUK Yuliya,ISR,1998,1:08.22,19 May 2021,Funchal,Portugal
25,ROXON Katarina,CAN,1993,1:08.24,31 August 2021,Tokyo,Japan
26,WATZ Lina,SWE,1996,1:08.31,19 May 2021,Funchal,Portugal
27,PAYER Kata,HUN,2005,1:08.54,25 March 2021,Budapest,Hungary
28,MORLEY Elise,USA,2000,1:08.93,15 April 2021,Lewisville,United States of America
29,MECIC Emma,CRO,2007,1:09.26,18 July 2021,Zagreb,Croatia
30,KETKEAW Anchaya,THA,1998,1:09.51,31 August 2021,Tokyo,Japan
31,CROOK Alyssia,USA,1998,1:09.97,15 April 2021,Lewisville,United States of America
32,FUKUDA Kanon,JPN,2006,1:10.02,6 March 2021,Fuji,Japan
33,ARNISON McKinley,AUS,2005,1:10.09,15 June 2021,Adelaide,Australia
34,KLIACHKINA Elena,RPC,2005,1:10.38,8 April 2021,Sheffield,Great Britain
35,BORUSZEWSKA Zuzanna,POL,2005,1:10.81,18 June 2021,Berlin,Germany
36,BENN Gabriella,NZL,2003,1:10.84,24 January 2021,Dunedin,New Zealand
37,GKOULI Efthymia,GRE,1996,1:11.33,19 May 2021,Funchal,Portugal
38,KNOTT Keegan,USA,2005,1:11.58,15 April 2021,Lewisville,United States of America
39,BADROV Marija,CRO,2008,1:11.96,17 April 2021,Lignano Sabbiadoro,Italy
40,BASNAYAKE Galina,SRI,2005,1:12.09,5 December 2021,manama,Bahrain
41,UTSUGI Mikuni,JPN,2003,1:13.56,18 June 2021,Berlin,Germany
42,KRZYZANIAK Anna Catalina,GER,2004,1:13.59,18 June 2021,Berlin,Germany
43,URATA Manami,JPN,2003,1:13.68,20 November 2021,Narashino,Japan
44,HAASE Camila,CRC,2000,1:13.75,15 April 2021,Lewisville,United States of America
45,MAEDA Ema,JPN,2007,1:15.81,6 June 2021,Kobe,Japan
46,SLOAN Hannah,USA,2001,1:15.85,17 December 2021,Greensboro,United States of America
47,HARSANTO Mutiara Cantik,INA,2004,1:16.16,5 December 2021,manama,Bahrain
48,ISHIHARA Marin,JPN,2002,1:16.17,20 November 2021,Narashino,Japan
49,NOVINA Paula,CRO,2003,1:16.21,19 May 2021,Funchal,Portugal
50,PINTO Renata,POR,1999,1:16.66,27 June 2021,Porto,Portugal
51,LAZARIDOU Marina Nikoleta,GRE,2005,1:16.81,18 June 2021,Berlin,Germany
52,PALYO Amanda,USA,2001,1:17.24,15 April 2021,Lewisville,United States of America
53,TAR Reka,HUN,2004,1:17.40,25 March 2021,Budapest,Hungary
54,GONZALEZ Mailyn,CHI,1999,1:18.93,18 June 2021,Berlin,Germany
55,NAKAMICHI Honoka,JPN,2000,1:19.25,22 May 2021,Yokohama,Japan
56,HANZEK Juraj,CRO,2008,1:20.54,18 July 2021,Zagreb,Croatia
57,AU Lok Yi Dorothy,HKG,2007,1:20.66,5 December 2021,manama,Bahrain
58,KUKUNDAKWE Husnah,UGA,2007,1:24.24,8 April 2021,Sheffield,Great Britain
59,CHAIWONG Prakaithip,THA,2004,1:25.08,5 December 2021,manama,Bahrain
60,ONG Jia Xuan,MAS,2004,1:28.39,5 December 2021,manama,Bahrain
61,MACOVA Veronika,CZE,1997,1:29.93,20 November 2021,Prague,Czechia
62,JERICEVIC Vita,CRO,2007,1:31.91,18 July 2021,Zagreb,Croatia
63,SPINDOROVA Lea,SVK,2006,1:34.66,5 November 2021,Szczecin,Poland
64,NAKADE Shashruti Vinayak,IND,2004,1:35.53,5 December 2021,manama,Bahrain
65,TAK Kiran,IND,1981,1:37.92,17 December 2021,Greensboro,United States of America
66,CHIANG Man-Ling,TPE,2006,1:38.94,5 December 2021,manama,Bahrain
67,JELEC Leona,CRO,2007,1:41.40,18 July 2021,Zagreb,Croatia
68,JOYO Tiara Hanum Kembang,INA,2007,1:50.55,5 December 2021,manama,Bahrain
