Rank,Name,NPC,Birth,Time,Date,City,Country
1,DUNN Reece,GBR,1995,1:52.40,27 August 2021,Tokyo,Japan
2,BANDEIRA Gabriel,BRA,1999,1:52.74,27 August 2021,Tokyo,Japan
3,SCHLUTER Liam,AUS,1999,1:54.46,12 June 2021,Adelaide,Australia
4,BETAR Ricky,AUS,2003,1:55.53,12 June 2021,Adelaide,Australia
5,EMELIANTSEV Viacheslav,RPC,1994,1:55.58,27 August 2021,Tokyo,Japan
6,CATCHPOLE Jordan,GBR,1999,1:56.33,27 August 2021,Tokyo,Japan
7,BENNETT Nicholas,CAN,2003,1:56.52,27 August 2021,Tokyo,Japan
8,KULIABIN Mikhail,RPC,1998,1:56.74,27 August 2021,Tokyo,Japan
9,HAMER Thomas,GBR,1998,1:57.20,16 May 2021,Funchal,Portugal
10,HANCE Benjamin,AUS,2000,1:57.23,16 December 2021,Brisbane,Australia
11,IRELAND Jack,AUS,1999,1:58.42,12 December 2021,Brisbane,Australia
12,PALAZZO Misha,ITA,2002,1:58.63,27 August 2021,Tokyo,Japan
13,MIYAZAKI Satoru,JPN,1992,1:59.70,21 May 2021,Yokohama,Japan
14,TANG Wai Lok,HKG,1997,1:59.77,27 August 2021,Tokyo,Japan
15,VILA REAL Felipe,BRA,1997,2:00.84,5 June 2021,Sao Paulo,Brazil
16,MURAKAMI Shunya,JPN,1994,2:01.06,21 May 2021,Yokohama,Japan
17,SAKAKURA Koki,JPN,1997,2:01.55,21 November 2021,Narashino,Japan
18,LAWLOR Louis,GBR,2002,2:01.75,10 April 2021,Sheffield,Great Britain
19,ALFORD Joshua,AUS,1995,2:01.76,16 December 2021,Brisbane,Australia
20,BROOM Dylan,GBR,2002,2:01.79,11 December 2021,Swansea,Great Britain
21,JONSSON Robert Isak,ISL,2001,2:02.20,16 May 2021,Funchal,Portugal
22,LEE Inkook,KOR,1995,2:02.40,20 October 2021,Gimcheon,South Korea
23,WONG Hon Yin,HKG,2001,2:02.83,23 October 2021,Xi'an,China
24,KHALILI Nader,FIN,2001,2:02.90,23 April 2021,Helsinki,Finland
25,SHABALIN Andrei,RPC,1998,2:02.92,16 May 2021,Funchal,Portugal
26,MAILLET Nathan,FRA,1998,2:03.23,15 December 2021,Saint-Victor,France
27,UEMURA Haruhi,JPN,2005,2:03.48,5 December 2021,manama,Bahrain
28,DAVIES Rhys,GBR,2001,2:03.50,10 April 2021,Sheffield,Great Britain
29,LEE Juyoung,KOR,1997,2:03.68,27 August 2021,Tokyo,Japan
30,NAKAJIMA Keichi,JPN,1998,2:04.00,27 August 2021,Tokyo,Japan
31,ROSSER Alex,GBR,1996,2:04.70,10 April 2021,Sheffield,Great Britain
32,KO Junho,KOR,2002,2:05.10,20 October 2021,Gimcheon,South Korea
33,KELMAN-JOHNS George,GBR,2001,2:05.14,11 December 2021,Swansea,Great Britain
34,KIM Kyeongbin,KOR,2003,2:05.48,20 October 2021,Gimcheon,South Korea
35,HASUNO Takuto,JPN,2001,2:05.67,21 May 2021,Yokohama,Japan
36,KAKO Toshiya,JPN,1995,2:05.72,7 March 2021,Fuji,Japan
37,SAPP Lawrence,USA,2001,2:05.90,17 December 2021,Greensboro,United States of America
38,STEWART Bailey,AUS,2001,2:06.07,16 December 2021,Brisbane,Australia
39,BRUTOS DE OLIVEIRA Joao Pedro,BRA,2004,2:06.43,16 May 2021,Funchal,Portugal
40,YAMANAKA Yuki,JPN,1997,2:06.62,21 November 2021,Narashino,Japan
41,RENTSCH Pascal Andreas,GER,2003,2:06.77,17 June 2021,Berlin,Germany
42,DEGUCHI Eigo,JPN,1996,2:06.78,21 May 2021,Yokohama,Japan
43,CHEUNG Tsun Lok,HKG,2005,2:06.95,5 December 2021,manama,Bahrain
44,KAMO Hiroyuki,JPN,1989,2:07.06,10 April 2021,Sheffield,Great Britain
45,LABRADOR FERNANDEZ Javier,ESP,2001,2:07.45,21 March 2021,Castellon,Spain
46,EGBERT Parker,USA,2003,2:07.60,17 June 2021,Minneapolis,United States of America
