Rank,Name,NPC,Birth,Time,Date,City,Country
1,ELLARD William,GBR,2006,1:51.10,3 July 2026,Eindhoven,Netherlands
2,BENNETT Nicholas,CAN,2003,1:54.78,7 July 2026,Montreal,Canada
3,HANCE Benjamin,AUS,2000,1:54.83,21 February 2026,Gold Coast,Australia
4,IRELAND Jack,AUS,1999,1:55.54,21 February 2026,Gold Coast,Australia
5,XAVIER RIBEIRO Arthur,BRA,2007,1:55.75,20 March 2026,Barcelona,Spain
6,BUDD Declan,AUS,2007,1:56.37,13 June 2026,Homebush NSW,Australia
7,BROOM Dylan,GBR,2002,1:56.75,19 April 2026,London,Great Britain
8,DARBEY Rhys,GBR,2007,1:56.92,22 February 2026,Swansea,Great Britain
9,SISMAN Darren,AUS,2006,1:57.17,13 June 2026,Homebush NSW,Australia
10,JEAMPIRIYAKUL Nithikorn,THA,2005,1:58.13,29 May 2026,Fuji,Japan
11,TOMPSETT Mark,GBR,2006,1:58.95,19 April 2026,London,Great Britain
12,CHEUNG Tsun Lok,HKG,2005,1:59.51,20 March 2026,Barcelona,Spain
13,KHALILI Nader,FIN,2001,1:59.74,20 March 2026,Barcelona,Spain
14,WONG Hon Yin,HKG,2001,2:00.30,20 March 2026,Barcelona,Spain
15,GOULD Samuel,AUS,2005,2:00.39,21 February 2026,Gold Coast,Australia
16,VAN DER MERWE Jason,GBR,2008,2:00.66,22 July 2026,Sheffield,Great Britain
17,MURAKAMI Shunya,JPN,1994,2:00.76,29 May 2026,Fuji,Japan
18,KUMARASING Phakhawat,THA,2005,2:01.00,29 May 2026,Fuji,Japan
19,MAILLET Nathan,FRA,1998,2:01.74,1 May 2026,Paris,France
20,SON Jiwon,KOR,2008,2:01.98,29 May 2026,Fuji,Japan
21,TSUBOI Yuuki,JPN,2005,2:02.22,29 May 2026,Fuji,Japan
22,KOWALIK Andrzej,POL,2006,2:02.56,8 May 2026,Berlin,Germany
23,GUNNER Jude,GBR,2009,2:02.65,22 July 2026,Sheffield,Great Britain
24,KIUCHI Katsuya,JPN,2006,2:02.96,29 May 2026,Fuji,Japan
25,FUELLGRAF Julian Jeremy,GER,2005,2:03.22,8 May 2026,Berlin,Germany
26,LABRADOR FERNANDEZ Javier,ESP,2001,2:03.25,20 March 2026,Barcelona,Spain
27,MATSUDA Anku,JPN,2001,2:03.49,29 May 2026,Fuji,Japan
28,MEEPROM Natirat,THA,2006,2:03.84,29 May 2026,Fuji,Japan
29,MAK Wang Pok,HKG,2008,2:03.86,29 May 2026,Fuji,Japan
30,KIM Kyeongbin,KOR,2003,2:03.97,29 May 2026,Fuji,Japan
31,MAKIYAMA Kazuki,JPN,2008,2:04.15,29 May 2026,Fuji,Japan
32,KOBAYASHI Ibu,JPN,2006,2:04.66,29 May 2026,Fuji,Japan
33,VANZENKO Dmytro,UKR,1996,2:04.69,8 May 2026,Berlin,Germany
34,HUNG Wing Long,HKG,2009,2:04.82,20 March 2026,Barcelona,Spain
35,SEKI Kevin,JPN,1999,2:04.92,29 May 2026,Fuji,Japan
36,HUI Ka Chun,HKG,2001,2:05.29,20 March 2026,Barcelona,Spain
37,MIYAZAKI Satoru,JPN,1992,2:05.36,12 January 2026,Narashino,Japan
38,KHOO Ethan Yin Jun,MAS,2004,2:05.96,29 May 2026,Fuji,Japan
39,SAKAKURA Koki,JPN,1997,2:06.08,14 June 2026,Yokohama,Japan
40,NOMURA Yosuke,JPN,2000,2:06.17,14 June 2026,Yokohama,Japan
41,SAPP Lawrence,USA,2001,2:06.29,20 March 2026,Barcelona,Spain
42,KIM Siwoo,KOR,2008,2:06.44,29 May 2026,Fuji,Japan
43,ATISOONTORNKUL Pawee,THA,2011,2:06.49,29 May 2026,Fuji,Japan
44,NAOI Toshihiro,JPN,2007,2:06.58,12 January 2026,Narashino,Japan
45,SHIH Min-Hsuan,TPE,1997,2:06.63,24 May 2026,New Taipei City,Chinese Taipei
46,WATANABE Takuto,JPN,2008,2:06.66,12 January 2026,Narashino,Japan
47,UEMURA Haruhi,JPN,2005,2:06.71,29 May 2026,Fuji,Japan
48,KIM Jaehun,KOR,2009,2:06.92,29 May 2026,Fuji,Japan
49,STEWART Harry,GBR,2004,2:07.04,22 February 2026,Swansea,Great Britain
50,PREMUS Danilo,CRO,2007,2:07.50,13 March 2026,Lignano Sabbiadoro,Italy
51,MAIDANA CANCINOS Lautaro Daniel,ARG,2004,2:07.57,29 May 2026,Buenos Aires,Argentina
52,BLOCKEY Ethan,AUS,2006,2:07.61,6 March 2026,Sydney,Australia
53,HASUNO Takuto,JPN,2001,2:07.65,29 May 2026,Fuji,Japan
54,SU Riley,AUS,2004,2:07.79,13 June 2026,Homebush NSW,Australia
