Rank,Name,NPC,Birth,Time,Date,City,Country
1,IRELAND Jack,AUS,1999,0:51.28,26 August 2022,Sydney,Australia
2,HILLHOUSE Alexander,DEN,2004,0:51.86,11 December 2022,Bergen,Norway
3,KHALILI Nader,FIN,2001,0:53.58,11 December 2022,Bergen,Norway
4,NAKAJIMA Keichi,JPN,1998,0:53.78,18 December 2022,Hamamatsu,Japan
5,MICHEL Jake,AUS,1997,0:53.99,26 August 2022,Sydney,Australia
6,UEMURA Haruhi,JPN,2005,0:54.09,18 December 2022,Hamamatsu,Japan
7,MURAKAMI Shunya,JPN,1994,0:54.45,27 November 2022,Niiza,Japan
8,PALAZZO Misha,ITA,2002,0:55.08,27 November 2022,Fabriano (AN),Italy
9,KAMO Hiroyuki,JPN,1989,0:55.25,18 December 2022,Hamamatsu,Japan
10,ALFORD Joshua,AUS,1995,0:55.49,26 August 2022,Sydney,Australia
11,HASUNO Takuto,JPN,2001,0:55.68,27 November 2022,Niiza,Japan
12,STEWART Bailey,AUS,2001,0:55.70,26 August 2022,Sydney,Australia
13,MATSUDA Anku,JPN,2001,0:55.80,27 November 2022,Niiza,Japan
14,MIYAZAKI Satoru,JPN,1992,0:55.98,27 November 2022,Niiza,Japan
15,DAALMAN Bram,NED,2003,0:56.02,16 December 2022,The Hague,Netherlands
16,DYER Jarred,AUS,2000,0:56.08,26 August 2022,Sydney,Australia
17,SAKAKURA Koki,JPN,1997,0:56.44,18 December 2022,Hamamatsu,Japan
18,MACDONALD Tyson,CAN,1996,0:56.49,27 November 2022,Quebec City,Canada
19,KAKO Toshiya,JPN,1995,0:56.91,27 November 2022,Niiza,Japan
20,KLASSON Tobias,SWE,2000,0:58.21,11 December 2022,Bergen,Norway
21,RENTSCH Pascal Andreas,GER,2003,0:58.22,25 September 2022,Remscheid,Germany
22,CHAN Wei Siang Darren,SGP,2003,0:58.80,26 August 2022,Sydney,Australia
23,HIRANO Ryuhei,JPN,1989,0:59.96,27 November 2022,Niiza,Japan
24,FUELLGRAF Julian Jeremy,GER,2005,1:01.71,19 November 2022,Düsseldorf,Germany
25,OHASHI Kaito,JPN,1990,1:05.75,27 November 2022,Niiza,Japan
26,JOHANSEN Frederik Schmidt,DEN,2002,1:08.38,11 December 2022,Bergen,Norway
