Rank,Name,NPC,Birth,Time,Date,City,Country,#,Sport Gender,Class
1,"Pasterfield, Cowdrey, Leek, Levy",AUS,,4:13.33,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1988,S8,2,PASTERFIELD Andrew,1989,4
1,LEEK Peter,M,1988,S8,,,,,,
2,LEVY Matthew,M,1987,S7,,,,,,
3,COWDREY Matthew,M,1988,S9,,,,,,
4,PASTERFIELD Andrew,M,1989,S10,,,,,,
2,"Lisenkov, Poltavtsev, Sidnin, Samarin",RUS,,4:15.46,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1989,S8,2,POLTAVTSEV Pavel,1989,4
1,LISENKOV Konstantin,M,1989,S8,,,,,,
2,SIDNIN Mikhail,M,1989,S8,,,,,,
3,SAMARIN Eduard,M,1987,S9,,,,,,
4,POLTAVTSEV Pavel,M,1989,S10,,,,,,
3,"Isaiev, Kalyna, Sirovatchenko, Komarov",UKR,,4:19.22,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1988,S7,2,ISAIEV Maksym,1991,4
1,KOMAROV Oleksandr,M,1988,S7,,,,,,
2,KALYNA Andriy,M,1987,S9,,,,,,
3,SIROVATCHENKO Andriy,M,1987,S9,,,,,,
4,ISAIEV Maksym,M,1991,S10,,,,,,
4,"Collado, Crespo, Levecq, Vidal",ESP,,4:31.31,19 August 2010,Eindhoven,Netherlands,,,
,M,1,SB9,M,1975,S6,2,CRESPO Javier,1976,4
1,VIDAL Daniel,M,1975,S6,,,,,,
2,COLLADO Jesus,M,1979,S9,,,,,,
3,LEVECQ David,M,1984,S10,,,,,,
4,CRESPO Javier,M,1976,SB9,,,,,,
5,People's Republic of China,CHN,,4:34.03,17 December 2010,Guangzhou,China,,,
,M,1,SB8,M,1993,S8,2,YANG Feng,1991,4
1,SONG Maodang,M,1993,S8,,,,,,
2,LIN Zhenyu,M,1989,S9,,,,,,
3,LI Lixiang,M,1984,S9,,,,,,
4,YANG Feng,M,1991,SB8,,,,,,
6,"Dias, Brasil, Collet, Rodrigues",BRA,,4:35.86,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1988,S5,2,MELO RODRIGUES Phelipe Andrews,1990,4
1,DE FARIA DIAS Daniel,M,1988,S5,,,,,,
2,BRASIL Andre,M,1984,S10,,,,,,
3,COLLET Marcelo,M,1980,S10,,,,,,
4,MELO RODRIGUES Phelipe Andrews,M,1990,S10,,,,,,
7,"Schaefer, Schulz, Ludwig, Burkard",GER,,4:36.16,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1983,S8,2,LUDWIG Lucas,1989,4
1,BURKARD Christoph,M,1983,S8,,,,,,
2,SCHAEFER Daniel,M,1991,S8,,,,,,
3,SCHULZ Martin,M,1990,S9,,,,,,
4,LUDWIG Lucas,M,1989,S10,,,,,,
8,"Sors, Toth, Meilinger, Becsey",HUN,,4:39.65,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S9,M,1968,S7,2,TOTH Tamas,1992,4
1,BECSEY Janos,M,1968,S7,,,,,,
2,MEILINGER Csaba,M,1993,S9,,,,,,
3,SORS Tamas,M,1991,S9,,,,,,
4,TOTH Tamas,M,1992,S9,,,,,,
9,Japan,JPN,,4:47.46,17 December 2010,Guangzhou,China,,,
,M,1,S9,M,1986,S7,2,SATO Yasuaki,1988,4
1,EJIMA Daisuke,M,1986,S7,,,,,,
2,ARA Chikara,M,1975,S8,,,,,,
3,YAMADA Takuro,M,1991,S9,,,,,,
4,SATO Yasuaki,M,1988,S9,,,,,,
10,"Sinovcic, Spanja, Vincetic, Mamic",CRO,,4:51.88,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S7,M,1984,S7,2,SINOVCIC Dino,1992,4
1,SPANJA Mihovil,M,1984,S7,,,,,,
2,VINCETIC Kristijan,M,1991,S9,,,,,,
3,MAMIC Kristijan,M,1993,S9,,,,,,
4,SINOVCIC Dino,M,1992,S7,,,,,,
