Rank,Name,NPC,Birth,Time,Date,City,Country
1,KRUGER Lisa,NED,2000,1:00.72,22 December 2018,Tilburg,Netherlands
2,ZIJDERVELD Chantalle,NED,2000,1:01.33,22 December 2018,Tilburg,Netherlands
3,LEONHARDT Paige,AUS,2000,1:02.23,26 October 2018,Melbourne,Australia
4,DOWNIE Katherine,AUS,1996,1:02.27,26 October 2018,Melbourne,Australia
5,KAUL Susannah,EST,1999,1:02.58,8 December 2018,Oulu,Finland
6,GREENWOOD Jasmine,AUS,2004,1:02.61,26 October 2018,Melbourne,Australia
7,STEPHENS Keira,AUS,2003,1:03.19,18 August 2018,Brisbane,Australia
8,BULTJE Florianne,NED,1998,1:04.42,22 December 2018,Tilburg,Netherlands
9,RAJAHALME Jenna,FIN,2002,1:05.75,8 December 2018,Oulu,Finland
10,MURPHY Monique,AUS,1994,1:06.47,26 October 2018,Melbourne,Australia
11,VERMARIEN Manon,NED,1997,1:06.83,22 December 2018,Tilburg,Netherlands
12,SCORTECHINI Alessia,ITA,1997,1:06.97,2 December 2018,Loano (SV),Italy
13,FARRELL Coral,GBR,2001,1:09.25,14 April 2018,Southampton,Great Britain
14,STENGEL Lea Sophie,GER,2003,1:10.21,17 November 2018,Remscheid,Germany
15,KRZYZANIAK Anna Catalina,GER,2004,1:13.27,17 November 2018,Remscheid,Germany
16,LEWIS Rebecca,GBR,2003,1:13.63,14 April 2018,Southampton,Great Britain
17,SMYTH Cara,GBR,2001,1:17.54,21 January 2018,Glasgow,Great Britain
18,REMMELG Anette,EST,2000,1:19.82,3 July 2018,Athlone,Ireland
19,KANGPILA Monruedee,THA,2002,1:23.35,3 July 2018,Athlone,Ireland
