Rank,Name,NPC,Birth,Time,Date,City,Country
1,COWDREY Matthew,AUS,1988,0:25.02,1 July 2011,Adelaide,Australia
2,GRACHAT David,POR,1987,0:27.04,16 January 2011,Santa Maria da Feira,Portugal
3=,HALL Brenden,AUS,1993,0:27.24,1 July 2011,Adelaide,Australia
3=,AUPRINCE Michael,AUS,1993,0:27.24,1 July 2011,Adelaide,Australia
5,MAMIC Kristijan,CRO,1993,0:27.34,6 November 2011,Rijeka,Croatia
6,DIERING Michael,CAN,1990,0:28.27,6 March 2011,Victoria,Canada
7,MCGUIGAN Hayden,AUS,1996,0:28.85,1 July 2011,Adelaide,Australia
8,PIENIAZCZAK Piotr,POL,1993,0:29.01,6 October 2011,Warsaw,Poland
9,MATCZAK Sebastian,POL,1991,0:29.15,6 October 2011,Warsaw,Poland
10,WYLIE Matthew,GBR,1996,0:29.30,27 November 2011,Sheffield,Great Britain
11,CROTHERS Rowan,AUS,1997,0:29.64,27 August 2011,Brisbane,Australia
12,RODZIEWICZ Kacper,POL,1992,0:29.83,8 October 2011,Warsaw,Poland
13,HERMANNSSON Gudmundur,ISL,1993,0:29.90,19 November 2011,Reykjavik,Iceland
14,MCALLISTER Zack,CAN,1993,0:30.33,29 January 2011,Medicine Hat,Canada
15,KOWALEWSKI Pascal,GER,1994,0:30.70,26 November 2011,Remscheid,Germany
16,COX Oliver,AUS,1997,0:30.71,16 July 2011,Sydney,Australia
17,HELLER Jens,GER,1994,0:31.15,26 November 2011,Remscheid,Germany
18,HIRSE Yannick,GER,1996,0:31.23,26 November 2011,Remscheid,Germany
19,BEZUIDENHOUT James,RSA,1996,0:31.33,7 August 2011,Johannesburg,South Africa
20,MOKLEBY Edvard Aasjord,NOR,1995,0:31.81,27 March 2011,Baerum,Norway
21,BENDLE Adam,GBR,1990,0:33.25,27 November 2011,Sheffield,Great Britain
22,VAN DE LOGT Erik,GER,1996,0:34.20,18 September 2011,Remscheid,Germany
23,TADIC Ilija,MNE,1999,0:35.77,6 November 2011,Rijeka,Croatia
