Rank,Name,NPC,Birth,Time,Date,City,Country,#,Sport Gender,Class
1,Russia,RUS,,4:16.40,10 July 2011,Berlin,Germany,,,
,M,1,S8,M,1989,S8,2,TARASOV Denis,1993,4
1,LISENKOV Konstantin,M,1989,S8,,,,,,
2,SAMARIN Eduard,M,1987,S9,,,,,,
3,POLTAVTSEV Pavel,M,1989,S10,,,,,,
4,TARASOV Denis,M,1993,S8,,,,,,
2,Ukraine,UKR,,4:17.53,10 July 2011,Berlin,Germany,,,
,M,1,S10,M,1988,S7,2,ISAIEV Maksym,1991,4
1,KOMAROV Oleksandr,M,1988,S7,,,,,,
2,KALYNA Andriy,M,1987,S9,,,,,,
3,SIROVATCHENKO Andriy,M,1987,S9,,,,,,
4,ISAIEV Maksym,M,1991,S10,,,,,,
3,"Dias, Silva, Brasil, Rodrigues",BRA,,4:23.99,19 November 2011,Guadalajara,Mexico,,,
,M,1,SB9,M,1988,S5,2,SILVA Matheus,1994,4
1,DE FARIA DIAS Daniel,M,1988,S5,,,,,,
2,BRASIL Andre,M,1984,S10,,,,,,
3,MELO RODRIGUES Phelipe Andrews,M,1990,S10,,,,,,
4,SILVA Matheus,M,1994,SB9,,,,,,
4,"Guo, Wang, Zhao, Liu",CHN,,4:24.79,13 October 2011,Shaoxing City,China,,,
,M,1,SB8,M,1991,S8,2,ZHAO Xueming,1990,4
1,WANG Jiachao,M,1991,S8,,,,,,
2,GUO Zhi,M,1989,S9,,,,,,
3,LIU Xiaobing,M,1990,S9,,,,,,
4,ZHAO Xueming,M,1990,SB8,,,,,,
5,Great Britain,GBR,,4:25.17,10 July 2011,Berlin,Germany,,,
,M,1,S10,M,1991,S7,2,HOLLIS James,1994,4
1,FOX Jonathan,M,1991,S7,,,,,,
2,HYND Sam,M,1991,S8,,,,,,
3,CRISP James,M,1982,S9,,,,,,
4,HOLLIS James,M,1994,S10,,,,,,
6,"Pasterfield, Cochrane, Tidy, Levy",AUS,,4:28.36,14 August 2011,"Edmonton, Alberta",Canada,,,
,M,1,S10,M,1991,SB7,2,TIDY Jeremy,1987,4
1,COCHRANE Blake,M,1991,SB7,,,,,,
2,LEVY Matthew,M,1987,S7,,,,,,
3,PASTERFIELD Andrew,M,1989,S10,,,,,,
4,TIDY Jeremy,M,1987,S10,,,,,,
7,France,FRA,,4:28.81,10 July 2011,Berlin,Germany,,,
,M,1,S8,M,1985,S8,2,ROZOY Charles,1987,4
1,NOUARD Yann,M,1985,S8,,,,,,
2,EL GUEDDARI Sami,M,1984,S9,,,,,,
3,RUPP Vincent,M,1987,S10,,,,,,
4,ROZOY Charles,M,1987,S8,,,,,,
8,Spain,ESP,,4:28.96,10 July 2011,Berlin,Germany,,,
,M,1,S8,M,1988,S9,2,BAILON GALINDO Jaime,1978,4
1,MARI ALCARAZ Jose Antonio,M,1988,S9,,,,,,
2,CRESPO Javier,M,1976,SB9,,,,,,
3,ROMARATE AGUIRRE Ander,M,1994,S8,,,,,,
4,BAILON GALINDO Jaime,M,1978,S8,,,,,,
9,"Zook, Wise, Garcia-Tolson, Lamback",USA,,4:33.88,14 August 2011,"Edmonton, Alberta",Canada,,,
,M,1,S10,M,1986,S7,2,ZOOK Justin,1985,4
1,LAMBACK Lantz,M,1986,S7,,,,,,
2,GARCIA-TOLSON Rudy,M,1988,S8,,,,,,
3,WISE Joe,M,1993,SB9,,,,,,
4,ZOOK Justin,M,1985,S10,,,,,,
10,"Marro, Lazo, Pulleiro, Lemaire",ARG,,4:41.06,19 November 2011,Guadalajara,Mexico,,,
,M,1,S10,M,1983,S7,2,LEMAIRE Bruno,1985,4
1,MARRO Guillermo,M,1983,S7,,,,,,
2,LAZO Facundo,M,1986,SB8,,,,,,
3,PULLEIRO Marco,M,1990,S9,,,,,,
4,LEMAIRE Bruno,M,1985,S10,,,,,,
11,Germany,GER,,4:41.21,10 July 2011,Berlin,Germany,,,
,M,1,S10,M,1983,S8,2,LUDWIG Lucas,1989,4
1,BURKARD Christoph,M,1983,S8,,,,,,
2,SCHMIDTKE Torben,M,1989,S8,,,,,,
3,SCHULZ Martin,M,1990,S9,,,,,,
4,LUDWIG Lucas,M,1989,S10,,,,,,
12,Poland,POL,,4:42.05,10 July 2011,Berlin,Germany,,,
,M,1,S10,M,1988,S6,2,KOWALSKI Patryk,1994,4
1,MICHALSKI Mateusz,M,1988,S6,,,,,,
2,PATERKA Krzysztof,M,1986,S9,,,,,,
3,WLOSKOWSKI Adam,M,1992,S10,,,,,,
4,KOWALSKI Patryk,M,1994,S10,,,,,,
13,"Ejima, Ara, Inui, Yamada",JPN,,4:49.26,14 August 2011,"Edmonton, Alberta",Canada,,,
,M,1,S9,M,1986,S7,2,YAMADA Takuro,1991,4
1,EJIMA Daisuke,M,1986,S7,,,,,,
2,ARA Chikara,M,1975,SB8,,,,,,
3,INUI Norihide,M,1972,S8,,,,,,
4,YAMADA Takuro,M,1991,S9,,,,,,
14,Denmark,DEN,,4:55.20,10 July 2011,Berlin,Germany,,,
,M,1,S10,M,1993,S8,2,ANDERSEN Lasse Winther,1994,4
1,ASMUSSEN Mikkel,M,1993,S8,,,,,,
2,MORTENSEN Niels,M,1995,S8,,,,,,
3,ZYSEK Kasper,M,1994,S9,,,,,,
4,ANDERSEN Lasse Winther,M,1994,S10,,,,,,
15,Italy,ITA,,4:58.52,10 July 2011,Berlin,Germany,,,
,M,1,S7,M,1985,S8,2,BOCCIARDO Francesco,1994,4
1,LENZA Matteo,M,1985,S8,,,,,,
2,MORLACCHI Federico,M,1993,S9,,,,,,
3,PAVAN Alberto,M,1989,S10,,,,,,
4,BOCCIARDO Francesco,M,1994,S7,,,,,,
16,"Larraga, Andrade Guillen, Buitian Santiago, Perez Da",MEX,,5:00.25,19 November 2011,Guadalajara,Mexico,,,
,M,1,S8,M,1994,S7,2,BUITIAN SANTIAGO Angel,1991,4
1,PEREZ DAVILA Enrique,M,1994,S7,,,,,,
2,LARRAGA Arturo,M,1990,S9,,,,,,
3,ANDRADE GUILLEN Luis Armando,M,1995,SB8,,,,,,
4,BUITIAN SANTIAGO Angel,M,1991,S8,,,,,,
17,"Huot, McMahon, Bouckley, Lavalliere",CAN,,5:02.83,14 August 2011,"Edmonton, Alberta",Canada,,,
,M,1,S10,M,1990,S7,2,BOUCKLEY Isaac,1994,4
1,LAVALLIERE Jean-Michel,M,1990,S7,,,,,,
2,MCMAHON Kyle,M,1991,SB7,,,,,,
3,HUOT Benoit,M,1984,S10,,,,,,
4,BOUCKLEY Isaac,M,1994,S10,,,,,,
18,"Parkin, Slattery, Hassiem, Paul",RSA,,5:04.08,14 August 2011,"Edmonton, Alberta",Canada,,,
,M,1,S9,M,1971,SB5,2,PARKIN Charl,1968,4
1,SLATTERY Tadhg,M,1971,SB5,,,,,,
2,HASSIEM Achmat,M,1982,S10,,,,,,
3,PAUL Kevin,M,1991,S10,,,,,,
4,PARKIN Charl,M,1968,S9,,,,,,
19,Croatia,CRO,,5:12.90,10 July 2011,Berlin,Germany,,,
,M,1,S8,M,1984,S7,2,RADA Ante,1995,4
1,SPANJA Mihovil,M,1984,S7,,,,,,
2,MAMIC Kristijan,M,1993,S9,,,,,,
3,SINOVCIC Dino,M,1992,S7,,,,,,
4,RADA Ante,M,1995,S8,,,,,,
20,Portugal,POR,,5:13.16,10 July 2011,Berlin,Germany,,,
,M,1,SB9,M,1978,S4,2,NASCIMENTO Adriano,1994,4
1,LOPES Nelson,M,1978,S4,,,,,,
2,GRACHAT David,M,1987,S9,,,,,,
3,GONCALVES Emanuel,M,1989,S10,,,,,,
4,NASCIMENTO Adriano,M,1994,SB9,,,,,,
