Rank,Name,NPC,Birth,Time,Date,City,Country
1,COLE Ellie,AUS,1991,,30 May 2015,Sydney,Australia
2,SCOTT Madeleine,AUS,1993,0:29.08,26 November 2015,Sydney,Australia
3,MCCONNELL Ashleigh,AUS,1996,0:29.41,26 November 2015,Sydney,Australia
4,NEIUFI Tupou,NZL,2001,0:30.76,13 August 2015,Auckland,New Zealand
5,VERMARIEN Manon,NED,1997,0:30.96,19 December 2015,Amsterdam,Netherlands
6,DOOTJES Lisa,NED,1994,0:32.62,19 December 2015,Amsterdam,Netherlands
7,ETIENNE Lucie,FRA,2001,0:32.91,17 July 2015,Varazadin,Croatia
8,YAROVAYA Larisa,RUS,1991,0:33.68,14 November 2015,Sheffield,Great Britain
9,BAANDERS Dominique,NED,1993,0:33.85,1 November 2015,Tilburg,Netherlands
10,LABERER Felicia Angelina Jennifer,GER,2001,0:34.72,22 November 2015,Remscheid,Germany
11,PINTO Renata,POR,1999,0:35.03,17 July 2015,Varazadin,Croatia
12,JOVOVIC Ana,SRB,1999,0:35.34,7 July 2015,Stadskanaal,Netherlands
13,UPSTON Olivia,NZL,2001,0:38.38,13 August 2015,Auckland,New Zealand
14,CASTRO Ana,POR,1997,0:39.33,11 January 2015,Santa Maria da Feira,Portugal
15,CRKVENAC Martina,CRO,1999,0:41.05,17 July 2015,Varazadin,Croatia
16,MCKELVIE Kate,NZL,2000,0:41.37,13 August 2015,Auckland,New Zealand
17,MIKUSKOVICOVA Monika,CZE,1999,0:42.17,17 July 2015,Varazadin,Croatia
