Rank,Name,NPC,Birth,Time,Date,City,Country
1,KONKOLY Michelle,USA,1992,1:03.49,10 August 2014,Pasadena,United States of America
2,GASCON Sarai,ESP,1992,1:03.80,18 April 2014,Glasgow,Great Britain
3,MARREN Amy,GBR,1998,1:03.90,18 April 2014,Glasgow,Great Britain
4,MILLWARD Stephanie,GBR,1981,1:03.92,28 June 2014,Manchester,Great Britain
5,WANG Jiexin,CHN,1992,1:05.68,20 October 2014,Incheon,South Korea
6,COLE Ellie,AUS,1991,1:05.82,29 November 2014,Sydney,Australia
7,MARQUES SOTO Nuria,ESP,1999,1:06.12,18 April 2014,Glasgow,Great Britain
8,RODRIGUES FERREIRA CRUZ Camille,BRA,1992,1:06.29,15 November 2014,Fortaleza,Brazil
9,SMITH Elizabeth,USA,1996,1:06.36,10 August 2014,Pasadena,United States of America
10,LIN Ping,CHN,1994,1:06.74,20 October 2014,Incheon,South Korea
11,CASHMORE Claire,GBR,1988,1:07.34,18 April 2014,Glasgow,Great Britain
12,BEECROFT Emily,AUS,1999,1:07.40,21 April 2014,Sydney,Australia
13,ASPDEN Hannah,USA,2000,1:07.41,7 December 2014,"Edmonton, AB",Canada
14,COCKBURN Ashleigh,AUS,1998,1:07.67,10 August 2014,Pasadena,United States of America
15,MAMLINA Nataliia,RUS,1991,1:07.74,6 August 2014,Eindhoven,Netherlands
16,KUKANOVA Valeriia,RUS,1995,1:08.17,6 August 2014,Eindhoven,Netherlands
17,KEANE Ellen,IRL,1995,1:08.29,6 August 2014,Eindhoven,Netherlands
18,GRAY Emily,RSA,1991,1:08.44,9 April 2014,Durban,South Africa
19,SECCI Francesca,ITA,1990,1:08.63,22 February 2014,Como,Italy
20,MCCONNELL Ashleigh,AUS,1996,1:08.65,2 April 2014,Brisbane,Australia
21,SIMS Natalie,USA,1997,1:08.98,27 March 2014,"Miami, FL",United States of America
22,ICHINOSE Mei,JPN,1997,1:09.23,18 April 2014,Glasgow,Great Britain
23,BUCK Chloe,GBR,1997,1:09.46,10 August 2014,Sheffield,Great Britain
24,GRAY Georgia,NZL,1993,1:09.70,10 August 2014,Pasadena,United States of America
25,GROGAN Lindsay,USA,1987,1:09.90,7 December 2014,"Edmonton, AB",Canada
26,KETKEAW Anchaya,THA,1998,1:09.97,20 October 2014,Incheon,South Korea
